member_type,sigma,tau,sigma_vm,Sy,Su,label
beam,447057664.08203584,18572320.548118573,448213507.4784255,457698283.28222734,675617627.1694118,Yield Risk
shaft,73469339.47624083,560478368.2848841,973553156.1188293,627713867.867423,870218083.1185622,Fracture Risk
shaft,160640011.39166042,733001005.7532507,1279717404.963199,887043360.1253036,1125071112.3318574,Fracture Risk
shaft,347763345.0455404,202817283.84675092,494311537.4317943,1214689537.9518995,1859644739.9033303,Safe
column,323729001.9691493,146319335.08393225,411130770.1621877,772887892.1197774,1197944842.9360473,Safe
shaft,311615013.88120866,413108286.50907224,780435318.2830535,1174629318.5641859,1411849865.0495405,Fatigue Risk
column,325395252.2717665,111555281.06416172,378438650.7756824,679777607.5351927,885215507.6930475,Safe
shaft,374564817.0141433,786596398.4175748,1412975754.9778903,949670501.8910373,1512386498.3268056,Fracture Risk
shaft,54571003.14129398,122695438.96465883,219409449.68719575,526638575.3749373,637808723.5772781,Safe
beam,653116009.6902103,81066725.66286694,668038894.1841325,1395995443.8723798,1826628173.764132,Safe
column,990539596.6498439,2234944.5369120874,990547160.6453096,685126977.5208249,942401483.8651003,Buckling Risk
shaft,405822036.89899933,1252935368.004529,2207766435.7496667,1354801553.5014586,2027563451.263616,Fracture Risk
shaft,397059245.3025983,1214260601.4982395,2140313638.075707,1026857658.8160497,1562980487.9765563,Fracture Risk
column,476046580.803029,28862132.32135544,478664198.72459763,338222425.5504525,482998263.5032083,Buckling Risk
column,426999373.5864431,36300554.332634114,431603586.38197666,563095694.3969202,872024109.1844295,Yield Risk
shaft,208340718.06323406,253022198.21087646,485248959.9839407,666071655.2990133,898385003.046825,Yield Risk
column,840212787.7940034,70327619.563205,848996732.027192,567523650.7621247,694031294.5375341,Buckling Risk
column,260126417.73504174,801976.7564309089,260130126.48253375,324381839.7941388,425387605.7641181,Buckling Risk
column,702476804.1458685,8054055.887252694,702615302.8590381,741936182.9993302,893451661.5134845,Buckling Risk
shaft,111832711.98043607,117656724.46681672,232456167.70841002,476246509.4381517,722155324.4762725,Safe
beam,181434889.1124853,110566557.23720296,263805818.2169659,290306777.55206954,422211678.2246033,Yield Risk
column,656730307.9606583,79514406.0204866,671015886.3160197,813098506.3947239,1125280737.2499404,Buckling Risk
column,616543029.635457,16695189.674558604,617220783.4048336,503396518.4503295,719342182.219677,Buckling Risk
column,483542398.916068,126164673.01580128,530627765.67105687,654835733.3226249,796786196.8442361,Buckling Risk
column,510893546.603264,47414119.25526973,517451941.8024444,467227144.82157135,579804384.6767623,Buckling Risk
beam,207099121.12168398,75051728.5528063,244516526.73319712,273239487.7603401,366111675.584643,Yield Risk
beam,525910245.1836832,188603074.5976325,619108185.4023594,671809290.7691379,840444797.7288008,Yield Risk
beam,257022593.9761642,19986883.063758433,259343479.3821684,255676075.36938465,403389069.88060844,Yield Risk
beam,371802414.87573534,16595843.50866743,372911922.27216464,1050074780.0962203,1523157933.021563,Safe
column,493304277.25418603,195826820.6477247,598659787.3686384,1170801890.6427197,1583280976.9362798,Safe
column,657177360.1506912,36021477.460591584,660132352.7974999,624356189.2678847,876724869.1109347,Buckling Risk
shaft,16006802.795292499,98437141.76616761,171247862.38959342,219003013.52946433,272092607.4664842,Yield Risk
beam,484464772.4487705,49475532.675568104,491985366.39257133,436099356.8281723,659304168.8388157,Fracture Risk
shaft,81738820.29157396,47131255.44740778,115521861.40642229,485694987.18078166,732625848.600046,Safe
beam,52211719.545678705,25912395.70457327,68850711.0447508,898656387.0611675,1390126419.3358886,Safe
beam,564276641.8799521,123220902.11510925,603289566.2329158,503754497.3505144,760362535.9941053,Fracture Risk
column,1519140891.662372,135891032.24497828,1537266459.2238276,1084271178.27277,1438994194.9749777,Fracture Risk
shaft,46698357.56084286,70881530.59851058,131351858.52831738,188380303.82356125,264206680.8963033,Fatigue Risk
shaft,94389749.06298892,71139392.71191308,155215541.4719589,398453829.35799354,566691562.5766679,Safe
shaft,137761814.19411942,265472384.82593155,480005290.3516351,1363686114.6197338,1992659835.33135,Safe
shaft,169860940.2196716,1468327100.969523,2548883317.324864,1276629040.472891,1847033249.1276028,Fracture Risk
column,617834318.6264627,49548086.24215349,623766209.2670659,475747614.30110407,584839647.3285939,Buckling Risk
shaft,16257079.957753688,248466192.40826234,430663022.5110251,883565323.6175836,1077319107.5752435,Safe
beam,1032480414.4937948,127955853.04701301,1055999009.1379086,859496218.0795836,1304439952.3167026,Fracture Risk
shaft,289087231.42588854,396525843.1739991,745164183.4441843,1236164244.6764069,1974612752.8530238,Fatigue Risk
column,107712524.77993944,13244166.710458605,110128161.02174924,566980280.798408,710997504.1136874,Safe
shaft,438545329.34907335,273924066.47856885,646084505.6819993,1208906677.357582,1738143132.8989103,Safe
column,903383540.7349725,96830230.27274579,918819950.890747,651022071.2859527,791321040.9322823,Fracture Risk
column,466768154.3150419,116749697.78565995,508688495.7238561,1042297883.5120935,1463285690.9591928,Safe
shaft,172528391.6372985,103600593.5232538,248928292.59862047,863129301.7603906,1121977529.791349,Safe
shaft,43751101.91524836,229038723.28412145,399111975.77830154,224106864.87272817,346567548.55872875,Fracture Risk
column,723415977.7197559,25556108.95227415,724768943.1360673,538632725.7090621,698921527.2166182,Buckling Risk
shaft,9918442.641284864,63835842.90358558,111010900.46505448,1328620154.678794,1875006068.8965938,Safe
shaft,104604823.7831574,150338032.1031113,280618496.9823154,296828907.80472344,467942380.83768654,Yield Risk
shaft,32689413.69279089,392424845.674606,680485397.5478045,988519700.3613911,1258759633.2183647,Yield Risk
column,991598600.145602,67724374.14197208,998512672.1126192,905102744.393695,1141958062.2315488,Fracture Risk
beam,357586040.2313494,135706666.2893676,427921340.89626515,634664978.4070742,785780518.060546,Fatigue Risk
beam,160145350.87077922,147324392.6353758,301263943.08259344,821135381.2762804,1275996396.26623,Safe
column,1254624490.8809114,139290718.04430977,1277610396.6069171,1101087331.8060586,1684582996.4106078,Buckling Risk
beam,480818488.6117943,74204824.88730912,497700198.0114121,793404401.0854317,1090384467.9826415,Fatigue Risk
beam,60891770.37243927,1922284.0497533893,60982728.92380007,151380704.29729962,233127367.22082093,Safe
shaft,286591710.4107652,148868779.92787117,385513358.2482022,772748554.414675,954793762.4692676,Safe
column,762211385.2148681,31138135.159768034,764117102.3703448,459098091.57264054,660567538.3357648,Buckling Risk
shaft,22858436.39867031,112304329.74952853,195855292.38717183,222456680.06908152,298815996.10714567,Yield Risk
column,1084773367.4340456,41241457.81822133,1087122730.9844623,621042982.4460447,862358927.6891159,Fracture Risk
column,891103446.1722227,28075537.758934505,892429302.0970186,1131491805.1819372,1519026558.3977244,Buckling Risk
shaft,124808802.48879583,870677603.456054,1513213700.9221864,1343622820.346491,2117340707.323065,Fracture Risk
shaft,350173769.00775,978648.6876608877,350177871.60363895,909828908.3620218,1273501555.3716013,Safe
column,674047851.4512527,77219304.50348583,687189179.9279557,613395176.7452288,832614394.6787107,Buckling Risk
shaft,37372754.35072914,465455323.1495829,807058050.1504263,433594464.8752893,672213259.8560659,Fracture Risk
shaft,103184292.69772048,442577665.00691897,773480424.4119295,377985450.3898665,506611970.3345767,Fracture Risk
shaft,37008392.90751917,13664827.051655382,43929530.39416963,222717274.96383452,275270514.2812643,Safe
column,204140807.41447213,38449503.93628607,214729043.93833646,275950033.1251158,418464420.1673578,Buckling Risk
column,392806652.60159695,18679221.429045472,394136786.24007887,962417825.4979843,1368525826.918429,Safe
beam,77977537.93253495,348041358.8607781,607847726.7005205,1369117577.4428701,1979965259.21068,Safe
shaft,15076466.170705145,33070277.764337417,59230310.20033329,184139142.9479812,280669066.2767711,Safe
beam,135524085.72758195,74838026.37041311,187533912.627431,337944490.5579032,501031121.2211473,Safe
shaft,236947192.21532407,509251993.81996715,913321822.5398763,926998033.2992499,1424110081.0369895,Yield Risk
shaft,191901014.08234397,539572573.7643055,954065871.0391765,953990913.3432497,1187483555.1592774,Yield Risk
column,400501391.41304225,38439571.93158849,405997742.10534,413287484.6893296,505623385.1895561,Buckling Risk
shaft,11163595.70841912,8654176.795030326,18689842.084403973,975743069.615068,1248158677.8663068,Safe
column,508830270.33354914,39986934.04470864,513522257.24947923,386546252.29501736,528762561.1433942,Buckling Risk
beam,1773027761.1539502,406261492.28535515,1907556720.5628147,1371398080.6302457,2119818225.7996435,Fracture Risk
shaft,68428218.58948046,413598836.1772679,719634916.4409001,484306605.00611734,583427691.9414986,Fracture Risk
shaft,185558774.95845622,64764626.94825478,216830416.85917324,686398532.4520185,944973103.9332702,Safe
column,2080286468.3582125,235994425.1026034,2120064125.5567741,1224583039.386528,1559721663.475496,Fracture Risk
shaft,111000621.59336533,249188365.1815797,445651951.6615163,582599063.4241962,863299843.2915249,Yield Risk
beam,541806321.5018625,137880127.3254216,592103773.4664448,375006195.0789826,488814300.0780915,Fracture Risk
shaft,257274329.49305075,517304802.9534738,932203227.8920171,946350597.873682,1335334025.230294,Yield Risk
beam,1669131554.144862,418123411.3065745,1819472919.9111435,1359378017.7700784,1906368762.4596298,Fracture Risk
column,285932519.0039551,80673888.1368916,318248698.51315695,611669500.8377011,860180415.5460465,Safe
shaft,28879686.843834087,131754108.92452002,230024937.70824233,473650107.20855224,693607709.6049972,Safe
beam,52843382.007585816,82646264.21245964,152589770.25615677,465271467.3786554,563356280.3489316,Safe
beam,905065074.9796997,269450520.41809124,1018309156.7931372,715536221.37404,872909410.1121944,Fracture Risk
beam,68959438.69970475,24363926.42754645,80846811.43173815,211777055.14422867,272149080.0580395,Safe
beam,59610060.180392005,52238122.4150888,108350466.4275672,161599503.96287817,242494804.868752,Yield Risk
shaft,196187988.39458644,573926695.3999656,1013244926.8900827,946682852.1951994,1461363629.106743,Yield Risk
shaft,199862062.37346774,41140214.264998026,212184814.8795897,1123127080.9566984,1363539258.9856539,Safe
column,390487302.600995,70317605.1696165,409040377.3259692,701959737.6459376,842925481.0652429,Buckling Risk
shaft,188363367.51570955,92745657.89778061,247560153.09119263,564106272.601589,840667526.8356823,Safe
column,37807182.82731209,111927028.68544492,197515473.63281447,848646030.2689792,1191187670.7432199,Safe
column,1425830226.5871372,2893446.338387857,1425839034.0934935,887800344.0065173,1196691996.4974096,Fracture Risk
beam,1198405760.0674417,467789511.6984585,1446602034.9522772,1257019076.4078982,1788912703.9712155,Fracture Risk
beam,217344674.0116775,116658278.27985793,296759446.34485465,547696538.1035697,659110455.9280483,Safe
beam,616715900.2956401,223591178.4082118,728229048.3518083,809378402.3053621,1123897903.5781302,Fatigue Risk
beam,756665818.6587952,211880175.62424117,840965390.2475789,709706602.7164738,871351226.1438603,Fracture Risk
column,489013605.522274,104662680.6307921,521533447.18854207,744200234.5830613,940243287.4249676,Buckling Risk
beam,158285844.21240234,100409981.67636085,235161437.60994118,474219820.63801736,624834881.8426002,Safe
beam,96481343.53968841,33026235.836148042,112164372.29235485,276314204.775577,422608527.08955985,Safe
beam,459083785.4076395,167757284.48684403,543309710.4961473,441300980.3436962,674206425.1842923,Fracture Risk
column,837366413.7664514,186832977.31800002,897720555.153224,934976364.9715925,1232328697.8502405,Buckling Risk
shaft,284741450.66417265,771831119.8054519,1366838515.0509737,751336601.3685654,1177133074.1286557,Fracture Risk
beam,432271878.38314754,75159031.8425017,451448354.79089,788669366.0372473,1052254396.3342887,Safe
shaft,151027532.25458106,248295159.64496264,455807826.1814522,1038055762.5976694,1641474776.7495346,Safe
column,124233359.52502804,102796904.72436467,217107205.04305056,1167739218.091895,1761867953.1280196,Safe
shaft,343591515.1853694,965137213.149448,1706612038.4917676,941489049.4835817,1380615463.7942896,Fracture Risk
shaft,63905328.66823988,56552643.54280794,116955100.39000201,313858683.96820474,425939680.8755588,Safe
shaft,77207118.55681479,578793496.1657625,1005468384.7676195,624556872.2210593,758528080.0768042,Fracture Risk
shaft,96543963.3476745,933951465.9312191,1620529777.265477,1017708461.9727504,1247966138.8331048,Fracture Risk
beam,1279920884.8923616,172195642.7499372,1314211356.5670624,877618244.0530071,1056938867.783573,Fracture Risk
column,568079055.3096813,55521301.46567192,576161138.7718422,346149617.01880705,551927843.3895378,Buckling Risk
column,457683366.4049784,32413843.664732184,461113907.4753209,353966200.05679363,444224236.4616427,Buckling Risk
column,288749802.92521673,51628275.62580687,302279481.9726181,263445481.24921867,393152807.3116594,Buckling Risk
column,58536157.05488781,25062846.854594197,72876063.01197273,727787678.7475044,1088581859.4813457,Safe
shaft,257063222.770965,184851117.2584867,410598717.9187572,883007455.2319319,1225259787.9597447,Safe
beam,1099079040.140094,159384494.26057544,1133218861.2564516,769018144.7512548,1076828965.007752,Fracture Risk
beam,1420926138.5512905,228043024.48402837,1474802344.1348846,1049921106.4220338,1319190635.589915,Fracture Risk
shaft,87605808.5786349,145349225.95928863,266559505.84739885,743196906.390935,1026916198.7251877,Safe
beam,1376175186.108262,188715227.32350084,1414460481.572883,1157768499.5976133,1768105094.5686848,Fracture Risk
shaft,26436368.424792945,1441618172.2464955,2497095862.242671,1253063414.4113405,1672169279.0326715,Fracture Risk
column,1827769726.3106813,10750048.68604424,1827864563.6529202,1261119206.0059443,1532242965.5876303,Buckling Risk
column,194724576.2046822,11574461.609967442,195753837.92604148,659132716.7090652,967143258.4312942,Safe
beam,285325690.7177473,6305557.051102275,285534638.7616285,776729136.446059,957274893.2404262,Safe
column,1203800299.3269722,176633636.66492158,1242068228.989106,1049365590.2205435,1356828566.3307567,Buckling Risk
shaft,446415661.4393639,1043493334.0028113,1861698675.162888,1223127758.4166825,1782289492.095057,Fracture Risk
beam,661771281.3935021,43079964.32804267,665964622.8267039,866389772.8977916,1334802651.8552883,Yield Risk
shaft,459825522.2287672,191956612.11082533,567434166.8353748,1212272412.5237603,1597954326.8121989,Safe
beam,550541074.8672858,345267144.31063044,812849111.4206126,1164259980.7354553,1571802533.5676749,Yield Risk
column,244979124.4692436,121112180.22243564,322520157.5412184,1279077463.5545611,1617811884.801261,Safe
shaft,46440821.18939403,125235758.26388048,221830420.178416,170865345.44292113,260999354.1907361,Fracture Risk
shaft,89976624.0138704,29583795.333158787,103544172.73741716,476453811.8836563,640487060.7554067,Safe
column,403771685.7574472,14036097.070845637,404502917.5202044,327829298.0390147,519938603.15235066,Fracture Risk
column,146925805.1432578,29999938.429369073,155843450.72633746,162556472.7692202,225302938.60977423,Yield Risk
column,150786958.83857167,176562251.9806739,340968317.3393769,1039105114.6323528,1632165734.5559402,Safe
column,363866315.4648315,263405223.68911958,583562876.7580214,1326725596.0720127,2035914558.3284698,Safe
beam,109386661.64633696,326232923.98237187,575542529.9805343,966032247.7495294,1536898106.7275004,Safe
shaft,87105137.7911061,5215025.5764436135,87572224.5058127,218757110.80155987,343389622.70754254,Safe
beam,1301916412.7055197,235429187.90647694,1364282614.8664794,981803790.9222207,1391753917.6964123,Fracture Risk
beam,1594618708.2366376,504405072.604733,1818263527.783154,1331715934.4621778,1859529207.4875264,Fracture Risk
column,1627020705.4766822,223163816.57739565,1672304590.4194634,1143544963.529314,1782005685.9870224,Buckling Risk
shaft,143367230.73044962,118922402.76154467,250961703.21994373,416893987.34088516,588578093.7681178,Fatigue Risk
beam,245124291.95119882,104517776.38513204,304725803.3807671,1106537693.4443235,1656441435.1172192,Safe
column,526617708.2305018,53088079.51168933,534585113.13042027,581074880.0798059,756998877.0338295,Buckling Risk
column,560439825.3886033,39691699.139710784,564640674.0781257,547702015.4098012,773943240.6238406,Yield Risk
column,729316885.3395543,146595198.22503847,772252274.6287663,848880104.1545334,1225432876.3759208,Yield Risk
column,808397861.9922177,15990159.912884811,808872152.3922724,596176272.6352084,809119733.2448753,Buckling Risk
beam,762135456.3906087,20501877.043497264,762962276.1150392,1015757743.6151017,1324904807.1333952,Yield Risk
beam,16434826.586544653,79961468.51005886,139469039.08676362,386170404.3030234,604183784.773968,Safe
shaft,176420637.50402552,394806201.299331,706215300.8046132,674092877.7229276,989575405.2943314,Yield Risk
beam,283996032.58719677,87084847.87315275,321566569.6438897,791371012.5113145,1244003466.029235,Safe
beam,1217657782.244637,222948333.376286,1277422542.75033,910587380.6815304,1130229695.5538301,Fracture Risk
shaft,195639046.6722402,307172028.29529744,566867357.927729,1299120282.6770935,1807752193.9682803,Safe
shaft,106807149.55119105,780790321.0928706,1356579648.8714454,779477530.6516536,1223031599.0600572,Fracture Risk
column,64984801.83961982,63073499.18398566,127113427.1745962,972370278.0625484,1405165863.098564,Safe
beam,235793209.17125773,155952596.8085912,358555539.41517836,455537931.11350214,662675587.4335644,Yield Risk
beam,500052127.2084582,16328269.817176875,500851242.4975819,691402795.5345973,1045400420.8188608,Yield Risk
shaft,136669730.3228398,636597084.4490187,1111056325.74298,545124694.7685491,679806948.7623147,Fracture Risk
column,1963738120.6584263,19206275.94451053,1964019869.9692574,1335931826.8514812,1795687636.0607536,Fracture Risk
beam,1489936198.4933956,159094244.6596737,1515203884.509424,1046245159.5980785,1392012922.1231005,Fracture Risk
column,1247844733.7328696,29801415.070040975,1248911867.3971303,1213041362.7080245,1933010216.4338346,Yield Risk
shaft,9254054.77384591,117872829.83435614,204371352.1245935,941994296.126476,1453898606.3588288,Safe
shaft,73723504.00227478,102769311.93668693,192664863.09183004,963962914.9579113,1234736167.167996,Safe
shaft,257021569.2708115,597608954.5762783,1066522139.8731897,988128051.7540214,1309219762.4739218,Yield Risk
column,228139050.54767713,207022636.51926288,424997108.7889376,832810715.4465935,1031500002.6112889,Safe
shaft,385692557.8310771,515195579.3167972,972130754.5844796,983668928.3600792,1516934226.278882,Yield Risk
shaft,71274428.12727168,434198801.3319076,755424279.0240897,623760574.6977239,994698973.6270652,Fracture Risk
shaft,70446809.59365252,144838867.78901258,260571767.17582726,201771885.1869782,272720748.6840185,Fracture Risk
column,672205478.0019298,56297200.523227364,679240994.7993866,780520229.0407571,1218690611.612918,Yield Risk
column,200453666.46936944,10354019.701445706,201254290.81872264,350849534.6972308,524482749.2931221,Safe
column,605748943.5147182,8035110.425655552,605908798.0611064,421567584.0941695,600230611.3410262,Buckling Risk
column,1095832358.2648625,13075099.501841497,1096066344.7534914,695552955.7515244,857218710.1499776,Buckling Risk
shaft,311436130.2595873,672789635.7525549,1206204852.0708385,992855744.8844341,1549989018.7963967,Fracture Risk
shaft,176365409.04359958,1487842963.3396149,2583047581.4790435,1350494409.0112498,1970069322.1742854,Fracture Risk
column,1389532173.617904,149959770.83043203,1413599469.4827259,834717658.7093035,1094149343.2078571,Fracture Risk
column,1350297194.6991377,102374106.35989243,1361889821.8913748,828994476.6832452,1156876549.7122307,Buckling Risk
column,1768400097.8529632,182968995.72295046,1796572254.6766565,1132833843.3421798,1654764525.3267517,Buckling Risk
shaft,2032235.4766342174,408867524.93905383,708182242.6680833,389947922.2946582,522605127.46609527,Fracture Risk
beam,183602737.9154526,142665629.88108248,307848032.66895896,762870192.4539833,1146817469.364033,Safe
beam,260963781.759915,89621639.63507572,303641581.907147,363126863.354891,474649182.8861919,Fatigue Risk
shaft,317487048.7754657,83836149.28948964,349118211.9615414,1303420314.4108675,1772222324.1912951,Safe
beam,951991528.7809181,197466932.82167348,1011566824.0628632,906041005.5251716,1417563633.3696613,Fracture Risk
column,102874679.55305676,133781440.90403837,253526372.3643484,671294021.8923291,1027221649.3580043,Safe
beam,43974553.45918697,85524977.62766087,154522900.39528304,388259383.9282286,601599435.884754,Safe
beam,532178789.36352015,67722822.53492028,544952663.930282,868486960.9442626,1258037560.7034166,Yield Risk
column,160336690.63736045,41140184.16600783,175457683.28625497,589964454.4826484,832690678.6969905,Safe
column,343554712.93743294,58522146.79074487,358195987.9402817,295941995.80236197,444393378.0890891,Buckling Risk
beam,615212133.8819804,91956667.63874649,635495126.5315009,675452819.7083356,984940576.1923367,Yield Risk
shaft,393562249.00115174,431698182.1324203,844974085.5246115,1199961972.1154315,1907310938.863957,Fatigue Risk
column,844942431.4480795,53327426.54779143,849975973.6180916,487519740.21964574,598624055.8024743,Buckling Risk
shaft,78909775.92049457,204441062.71091053,362788088.42480206,464492367.7814615,609874935.0718491,Fatigue Risk
column,263685989.8157052,25788648.150533777,267442450.52979955,288012929.4393949,381288819.2728211,Yield Risk
beam,172345457.25956208,29947505.00533203,179981987.4491353,153402821.296301,233460552.37642422,Fracture Risk
column,393890455.6396369,7918233.5827187225,394129149.2813139,316374291.4460671,390797621.9703535,Buckling Risk
beam,433547210.6663893,50637678.947911285,442329862.7317646,378960074.6653879,487530362.4181987,Fracture Risk
shaft,215194541.89959544,1267648761.8642778,2206152497.2747207,1086432956.4621348,1562659801.7921813,Fracture Risk
column,2438206817.583326,108657084.38758914,2445459378.373038,1358643752.1282856,1925832911.049988,Buckling Risk
beam,97410656.33258581,47875547.34253611,127925916.32342286,853895377.0746937,1062677186.4840204,Safe
beam,509767346.06048757,317811087.0537424,750249563.9934735,990909815.1450149,1453107704.495202,Yield Risk
shaft,162782880.46234542,503881177.29550546,887798957.3488652,582372955.7028465,731538214.6787586,Fracture Risk
column,169290653.78770134,130306856.24688402,282132869.07892466,1040221096.5165154,1387682586.4141312,Safe
shaft,18988516.43779078,367520521.2516344,636847363.4865166,401779641.04731387,545798005.2224287,Fracture Risk
column,1143184749.9056668,104995137.71159795,1157559203.3438783,754874431.5875933,1060699157.7298279,Fracture Risk
shaft,157339382.51155344,338043932.147167,606281107.6338041,1170578584.671659,1629623212.0079877,Safe
beam,100650288.40753081,255120609.6661697,453199798.08670866,668297494.53403,831611527.2312198,Yield Risk
shaft,92044514.89482036,554296713.5297093,964472256.0093333,1064491289.4064609,1537896719.6338863,Yield Risk
column,303943628.95057595,18705031.829541266,305665444.9342906,491425171.7087249,687763569.3250211,Buckling Risk
column,1535975522.7808666,191368085.28882182,1571332567.8491125,1240037973.7483385,1566234606.7543972,Fracture Risk
shaft,98228659.01026462,26937875.316588312,108746571.58122739,498605967.27989715,691912858.1245627,Safe
shaft,178098434.97698128,1361588094.4591355,2365055066.897984,1314708417.566916,1855918361.51159,Fracture Risk
column,57140492.58895153,49840462.51034883,103524156.61595358,416595318.06072414,604765812.6663088,Safe
column,79288287.22559737,7130848.807545854,80244498.28690477,242876235.76193732,308178120.22386724,Safe
shaft,216663314.70068434,23691162.541969806,220514864.54399818,543783071.1777998,698861090.3907576,Safe
beam,79733226.5640366,106938879.54129587,201656042.03929856,368908070.2119699,524194522.9626595,Safe
shaft,311088473.2630601,244689146.46729997,525732225.9419038,948011161.4490122,1369037338.4350886,Safe
column,367227939.86141354,41563528.01504453,374217771.3551698,543335397.9822487,783695957.4764522,Buckling Risk
shaft,250115625.72826687,763138533.6072235,1345250567.984267,1345411087.4890265,1968651323.737333,Yield Risk
shaft,101266745.95864712,747319688.254417,1298350916.8152845,903329793.9064575,1424764538.378909,Fracture Risk
column,64225798.60261218,1365509.7624421518,64269332.16455011,437215902.3814121,544103460.144222,Safe
shaft,40076122.17357238,19696962.119281035,52630851.395890184,176968437.39882922,218823894.50728944,Safe
shaft,177638582.90327185,93525285.91503114,240408825.65402535,448558133.5643703,610504812.4515845,Safe
shaft,150619231.27892622,657410942.2239372,1148587651.7263927,838950458.6212647,1078872501.3719728,Fracture Risk
shaft,359712958.63607347,875350047.9339874,1558238278.269668,1084705673.0713665,1472100906.7968106,Fracture Risk
shaft,105642410.666721,914933094.5745498,1588227950.1301951,997303881.8858373,1342263929.9425902,Fracture Risk
beam,1615679581.1047542,83207283.89977501,1622094591.9029405,1108443558.2289615,1357273669.01964,Fracture Risk
beam,212839750.51102188,68956339.6522055,244060832.03227228,276521573.314572,431850770.2691224,Fatigue Risk
beam,71584593.59314586,55150720.014739186,119369844.57696307,278357150.884465,352413704.4768997,Safe
column,49113423.27754974,13131889.319681527,54124559.09615211,433031497.3160665,548345139.9098127,Safe
column,62263847.879849635,127474203.38012521,229403148.04944947,1339657103.7852113,2015956370.1237812,Safe
shaft,373142343.84735304,1152643715.0812798,2031009062.1464543,1039826772.4032087,1357168785.426713,Fracture Risk
column,152813974.061929,17055098.01624518,155642988.19295102,293755181.90542233,397012037.3914245,Safe
beam,602959548.7556143,37778702.72909486,606499718.5285859,465799059.62859553,582535124.8670179,Fracture Risk
shaft,105169544.95647547,88139797.46392658,185382051.11956796,443100724.0943939,621004044.722795,Safe
